342,-53.424,93,173,-140,339,-60,-338,385,269,418,204,57,-7,-241,-95,399,28.261,454,313,272,313,-33,14,40.474,7.958,-272,-72,2.476,470,239,-47,-262,20,-408,-39.783,53.547,-466,-154,342
236,-58,-54.222,93.362,93.32,8.89,-242,-89.121,-240,-36.177,-205,1.521,80.114,-210,71.358,-425,-4.545,263,56.409,36.798,-82.514,258,42,-51.146,33.405,41.587,225,489,-84.166,-48.025,27,13.811,31,-427,26,-72,233,52.328,287,450
462,-99.975,95.241,-293,-88.571,136,-82.916,61.308,82.378,397,-353,-279,-83.138,6,30,-42,-343,-466,-2.257,-232,310,412,-392,299,101,409,-479,37.617,-0.436,65.865,283,-168,79.453,18.274,30,-45.025,-74.85,50.294,86.343,224
437,27.319,-40.002,-291,340,-231,16.623,36.957,57.938,242,102,-339,-90.132,84.636,247,-25.552,-431,186,-96,51.495,-356,63.538,-440,452,45,10.279,427,68.242,-417,-93,-83.337,93.26,-376,62,87,43.435,-364,169,340,188
58.083,-328,69.564,9,204,-95.849,79.175,-42,-384,42,-92,46.644,472,-495,54.444,5.772,34.182,-69.165,38,89.341,-89.081,-42.132,86.566,18.752,-82.807,113,6.179,-43.653,-31,30.034,23.238,-54.828,-6.058,37.604,-432,-259,-9.071,-52.027,446,-456
-77.989,-7.376,-12.496,-322,-52.509,-97,-89.931,91.88,-80.605,-67.7,-24.998,-99.764,97.884,-20.125,-339,265,70.055,256,291,46.63,41.886,-13.28,-449,64.085,48.518,-81.233,82.397,-240,91.244,55.922,353,499,215,297,78.345,-32.458,487,57.215,82.86,305
58.675,-326,-50.428,-28,-230,-56,79.074,-424,-98.475,-315,-122,-412,494,350,73.624,-69.228,53.9,-26.966,-3.197,448,-2.964,8.936,474,98.553,-106,86.376,-70.492,-434,77,-19,445,1.398,2.632,238,385,60.624,68.264,-251,2.849,-193
-93.854,171,-166,382,225,-78,92,471,-51.477,17,20.838,438,91.369,374,29,-176,284,17.763,429,-127,-498,100,17.504,314,232,-425,-4,81.761,391,236,-50.207,281,59,35,325,273,172,-70,-452,19.963
47.134,-76.639,-16.2,-34.374,246,333,-455,61.351,-75,49.01,-62.562,-277,-35.719,-485,93.522,89.616,0.244,222,-152,-54.748,-25.811,-73.934,-449,-57.088,37.584,-96.842,350,292,35.569,72.272,-20.083,35.229,46,-14.689,327,-371,-18,-16.98,27.959,-418
-1.498,34,119,59.892,-75.885,256,181,317,300,34,-382,449,73,-87.841,145,351,-113,-299,32.602,-33.653,440,128,-51.832,-23.449,-427,-45.371,-68.6,-8.132,59.831,-43,-79.791,96.694,-418,-361,90.97,-18.046,16.562,-300,354,-29.508
-254,50.836,-2.649,168,89.45,206,493,-333,-144,-31.857,88.162,-93.55,-352,9,120,-18,-180,-395,-39.88,-50.112,237,41.15,43,46.229,84.17,-29,-2.781,-38,22.586,-246,28.496,461,-84.074,-482,307,46.178,266,-52.072,-297,-47.599
-4.827,55.754,-20.8,64.043,9.685,45.372,-31.134,441,-39.611,215,-456,462,-11.519,-437,141,-76.414,53.664,330,306,-54.644,350,496,16.268,40.377,27.51,93.688,-18.664,-92.26,-90.413,57.564,-89.743,-328,-68.158,-11.283,-21.612,208,-13,7.184,-31.322,-59.802
102,-44.261,-23.672,62.705,252,-94.946,233,-53.538,-12.923,-105,28.524,-41.424,-35.077,-14.959,-424,-129,68,-57.758,245,5,57.769,-74,-20.457,40.132,-153,-337,253,361,11.364,62,28.515,-499,19,446,-197,-50.957,-380,82.03,-489,-37.378
14.262,392,446,-214,21.289,48.391,-329,436,-176,-441,91.75,3.876,70.989,71.676,358,-9.803,80.592,36.009,71.076,-30,-16.295,-354,-98.519,399,-98.966,-6,-31.82,-65.586,-369,35.912,24.479,-69.547,16,-83.219,147,305,-73.72,469,-33.738,86.774
-77.9,-229,37.348,8.283,71,-189,351,36,422,-354,-75.15,98.614,-87.292,-71.384,486,-15.299,19.554,0,197,-87.089,433,-159,-47,69.692,228,96.053,63,32.729,-164,-496,1.619,-11.026,-141,-249,-90.997,76.134,29.716,74.511,-459,2.515
-69.702,-44.263,-356,114,-95.844,364,-412,-3.364,-473,-188,125,-87.004,350,39.982,466,-16,309,-26.942,-16.146,-414,-356,227,5.179,458,-29.942,-2.217,96.152,-303,36.608,27.566,-51,38.83,-110,78,-263,85.49,-55.86,-272,-54.909,51.619
-1,211,46.231,-56.855,-98,-397,280,66.016,38.13,-33.908,37.224,-110,200,-1.076,-39.532,406,-5.533,-343,-435,-4.29,4.813,-86.245,446,-17.693,-12.531,423,-42.98,-293,2.937,-13.959,-91.571,-160,-24.078,-61.618,36.323,-56.141,-439,66.227,-258,-10.85
15.531,-56.8,79.756,-16.991,-96.525,-34.748,-94.765,89.212,46.646,344,-151,-348,-83.661,-34.395,11,-99.284,-419,269,450,242,92.332,352,-218,11.448,-460,195,42.355,14,250,77.571,26.714,-391,17,-9,33,-474,-3.17,-411,-222,-32
-41,21,159,22.382,-464,162,299,-165,77.482,-151,28.367,422,55.724,-24.284,9.271,-281,6,-94.899,169,-239,-63.08,-303,62.214,-104,367,52.945,-239,-61.473,112,-86.223,-15,-22.292,429,10,153,-12,54.44,-68.267,-151,409
-424,-34.113,-386,-33.783,77.767,24,-476,-90.22,88.15,-248,87.81,-1.299,-86.321,48,-238,-25,-42.549,-18.256,52.485,99.337,-15.52,92.231,9.46,-234,32.314,206,1.574,-75.39,313,44.621,-82.337,-6.262,-39.428,-249,10.058,2.014,61,190,64.368,-179
-416,33.413,-252,21.321,-70,-122,-442,-4.693,461,-31.048,246,431,-80.122,-270,70.226,-71,323,-163,-158,-36.191,-336,-361,-199,4.301,-390,38.787,59,-142,-160,-85.406,-70,-90.916,-69.093,90.01,10,-33.902,-51.264,-446,-60.568,-67.429
-73.206,-223,-258,316,-24.734,302,359,5.781,89.824,56.245,24,6,-87.574,463,-33.181,231,-233,-493,240,460,-133,92.078,193,71.561,-433,318,42.743,-358,-371,453,68.887,-16,50.209,23,11.259,-74.711,-263,-9.859,42,110
